category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
Gate Style,1820OriginalGateStyleStripPreGalSetJasper,1820x50 Original Gate Style With Strip Pre-Gal Each Set JASPER,1820,JASPER,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetManorRed,1220x50 Original Gate Style With Strip Pre-Gal Each Set MANOR RED,1220,MANOR RED,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetManorRed,1820x50 Original Gate Style With Strip Pre-Gal Each Set MANOR RED,1820,MANOR RED,1820,42.0,,
Gate Style,,CB D/Gate Kit 1800h x 3325w MONUMENT,,MONUMENT,,269.48,,
Gate Style,1220OriginalGateStyleStripPreGalSetMonument,1220x50 Original Gate Style With Strip Pre-Gal Each Set MONUMENT,1220,MONUMENT,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetMONUMENT,1820x50 Original Gate Style With Strip Pre-Gal Each Set MONUMENT,1820,MONUMENT,1820,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetMill,1820x50 Original Gate Style With Strip Pre-Gal Each Set Galvanised,1820,Mill Finish,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetNightSky,1220x50 Original Gate Style With Strip Pre-Gal Each Set NIGHT SKY,1220,NIGHT SKY,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetNIGHTSKY,1820x50 Original Gate Style With Strip Pre-Gal Each Set NIGHT SKY,1820,NIGHT SKY,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetPaleEucalypt,1220x50 Original Gate Style With Strip Pre-Gal Each Set PALE EUCALYPT,1220,PALE EUCALYPT,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetPALEEUCASLYPT,1820x50 Original Gate Style With Strip Pre-Gal Each Set PALE EUCALYPT,1820,PALE EUCALYPT,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetPaperbark,1220x50 Original Gate Style With Strip Pre-Gal Each Set PAPERBARK,1220,PAPERBARK,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetPAPERBARK,1820x50 Original Gate Style With Strip Pre-Gal Each Set PAPERBARK,1820,PAPERBARK,1820,42.0,,49
Gate Style,,CB D/Gate Kit 1800h x 3325w RIVERSAND,,RIVERSAND,1800,289.11,,
Gate Style,1220OriginalGateStyleStripPreGalSetRiversand,1220x50 Original Gate Style With Strip Pre-Gal Each Set RIVERSAND,1220,RIVERSAND,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetRIVERSAND,1820x50 Original Gate Style With Strip Pre-Gal Each Set RIVERSAND,1820,RIVERSAND,1820,42.0,,49
Gate Style,1220OriginalGateStyleStripPreGalSetShaleGrey,1220x50 Original Gate Style With Strip Pre-Gal Each Set SHALE GREY,1220,SHALE GREY,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetSHALEGREY,1820x50 Original Gate Style With Strip Pre-Gal Each Set SHALE GREY,1820,SHALE GREY,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetSurfmist,1220x50 Original Gate Style With Strip Pre-Gal Each Set SURFMIST,1220,SURFMIST,1220,42.0,,
