system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Dune,ratified,,CB D/Gate Kit 2100h x 3325w DUNE,,Dune,2100,300.08,330.09,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 1200h x 910w PALE EUCALYPT,,Pale Eucalypt,1200,141.04,155.14,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 1200h x 1670w PALE EUCALYPT,,Pale Eucalypt,1200,161.52,177.67,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Pale Eucalypt,ratified,,CB D/Gate Kit 1200h x 3325w PALE EUCALYPT,,Pale Eucalypt,1200,255.6,281.16,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 1500h x 910w PALE EUCALYPT,,Pale Eucalypt,1500,137.06,150.77,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 1500h x 1670w PALE EUCALYPT,,Pale Eucalypt,1500,160.56,176.62,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Pale Eucalypt,ratified,,CB D/Gate Kit 1500h x 3325w PALE EUCALYPT,,Pale Eucalypt,1500,253.68,279.05,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 1800h x 1670w PALE EUCALYPT,,Pale Eucalypt,1800,170.1,187.11,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Pale Eucalypt,ratified,,CB D/Gate Kit 1800h x 3325w PALE EUCALYPT,,Pale Eucalypt,1800,272.76,300.04,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 2100h x 910w PALE EUCALYPT,,Pale Eucalypt,2100,164.27,180.7,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Pale Eucalypt,ratified,,CB S/Gate Kit 2100h x 1670w PALE EUCALYPT,,Pale Eucalypt,2100,192.14,211.35,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Pale Eucalypt,ratified,,CB D/Gate Kit 2100h x 3325w PALE EUCALYPT,,Pale Eucalypt,2100,304.0,334.4,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 1200h x 910w EVENING HAZE,,Evening Haze,1200,141.01,155.11,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 1200h x 1670w EVENING HAZE,,Evening Haze,1200,161.46,177.61,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Evening Haze,ratified,,CB D/Gate Kit 1200h x 3325w EVENING HAZE,,Evening Haze,1200,255.46,281.01,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 1500h x 910w EVENING HAZE,,Evening Haze,1500,137.03,150.73,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Evening Haze,ratified,,CB S/Gate Kit 1500h x 1670w EVENING HAZE,,Evening Haze,1500,160.5,176.55,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Evening Haze,ratified,,CB D/Gate Kit 1500h x 3325w EVENING HAZE,,Evening Haze,1500,253.54,278.89,
